iter	Passed	Remaining
0	1	136
1	2	117
2	3	109
3	4	101
4	5	99
5	6	97
6	7	97
7	8	96
8	9	95
9	10	93
10	11	92
11	12	91
12	13	89
13	14	88
14	15	86
15	16	86
16	17	85
17	18	83
18	19	82
19	20	81
20	21	80
21	22	79
22	23	78
23	24	76
24	25	75
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	38	64
37	39	63
38	40	62
39	41	61
40	42	60
41	42	59
42	43	58
43	44	57
44	45	56
45	46	55
46	47	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	38
63	65	37
64	66	35
65	67	34
66	68	33
67	70	32
68	71	31
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
